company | abandon | system | institute | give up | facility | company | abandon | system | company | abandon | plan
i | fulfill | wish | she | satisfy | expectation | i | fulfill | wish | i | fulfill | promise
he | gain | attention | she | get | heed | he | gain | attention | he | gain | support
i | gain | confidence | we | get | faith | i | gain | confidence | i | gain | admission
they | gain | approval | they | get | permission | they | gain | approval | they | gain | strength
he | gain | admission | she | get | acceptance | he | gain | admission | he | gain | authority
he | gain | strength | he | obtain | power | he | gain | strength | he | gain | recognition
i | gain | certification | he | win | recognition | i | gain | certification | i | gain | points
we | gain | respect | i | win | esteem | we | gain | respect | we | gain | points
he | gain | freedom | we | obtain | liberty | he | gain | freedom | he | gain | weight
she | gain | weight | he | increase in | mass | she | gain | weight | she | gain | control
it | gather | flowers | this | collect | blooms | it | gather | flowers | it | gather | courage
they | gather | data | we | assemble | material | they | gather | data | they | gather | savings
it | gather | evidence | they | collect | proof | it | gather | evidence | it | gather | crowd
it | generate | opportunities | this | yield | chances | it | generate | opportunities | it | generate | strain
he | write | book | they | produce | novel | he | write | book | he | write | history
he | write | music | she | compose | song | he | write | music | he | write | act
i | write | film | he | produce | movie | i | write | film | i | write | classics
i | write | play | she | produce | opera | i | write | play | i | write | article
he | write | fiction | she | create | novel | he | write | fiction | he | write | description
it | worth | expense | this | deserve | cost | it | worth | expense | it | worth | trip
it | worth | risk | that | deserve | adventure | it | worth | risk | it | worth | battle
i | worry about | things | he | care about | items | i | worry about | things | i | worry about | situation
i | worry about | prices | we | be concerned about | cost | i | worry about | prices | i | worry about | drugs
he | work with | children | she | deal with | kids | he | work with | children | he | work with | critics
he | work on | project | they | engage in | program | he | work on | project | he | work on | script
he | work on | campaigns | she | participate in | activities | he | work on | campaigns | he | work on | plan
he | withdraw from | drug | she | quit | drug | he | withdraw from | drug | he | withdraw from | gulf
he | withdraw from | territories | they | retract from | lands | he | withdraw from | territories | he | withdraw from | project
they | win | war | we | succeed in | battle | they | win | war | they | win | election
it | win | trust | they | obtain | credence | it | win | trust | it | win | game
he | win | support | she | gain | help | he | win | support | he | win | approval
we | win | championship | they | rank | first | we | win | championship | we | win | open
he | win | case | they | succeed in | table | he | win | case | he | win | freedom
we | win | majority | they | defeat | most people | we | win | majority | we | win | race
they | welcome | neighbors | we | greet | people | they | welcome | neighbors | they | welcome | airlines
he | wear | shirts | i | put on | blouse | he | wear | shirts | he | wear | mask
i | wear | cap | she | put on | hat | i | wear | cap | i | wear | uniform
you | watch | film | he | see | movie | you | watch | film | you | watch | eclipse
i | watch | girl | we | look at | lady | i | watch | girl | i | watch | cartoons
i | waste | time | we | squander | hours | i | waste | time | i | waste | money
i | waste | opportunity | we | squander | chance | i | waste | opportunity | i | waste | breath
i | wash | hands | he | clean | palms | i | wash | hands | i | wash | car
he | warn | investors | she | remind | buyers | he | warn | investors | he | warn | world
they | want | freedom | we | long for | liberty | they | want | freedom | they | want | dogs
they | want | car | we | need | vehicle | they | want | car | they | want | information
i | walk | fingers | we | move | thumb | i | walk | fingers | i | walk | dog
he | visit | father | he | call | dad | he | visit | father | he | visit | friend
i | visit | college | we | tour | university | i | visit | college | i | visit | family
he | visit | lab | she | stroll around | laboratory | he | visit | lab | he | visit | country
we | visit | town | we | tour | city | we | visit | town | we | visit | friends
we | view | comedy | they | watch | opera | we | view | comedy | we | view | business
he | veto | bill | she | turn down | act | he | veto | bill | he | veto | budget
he | veto | measure | she | dismiss | actions | he | veto | measure | he | veto | version
he | veto | plan | they | turn down | program | he | veto | plan | he | veto | legislation
he | use | weapons | they | employ | arms | he | use | weapons | he | use | money
he | use | technique | she | utilize | method | he | use | technique | he | use | savings
i | use | talent | we | make use of | ability | i | use | talent | i | use | contract
you | use | software | we | utilize | package | you | use | software | you | use | visa
i | use | law | she | make use of | legislation | i | use | law | i | use | chain
we | use | dollars | they | take advantage of | money | we | use | dollars | we | use | condom
he | urge | officeholder | she | press | official | he | urge | officeholder | he | urge | council
they | urge | government | we | hasten | authorities | they | urge | government | they | urge | business
we | understand | languages | they | know | english | we | understand | languages | we | understand | situation
she | understand | motivation | we | know | intention | she | understand | motivation | she | understand | meaning
he | understand | importance | she | realize | significance | he | understand | importance | he | understand | scene
they | understand | detail | we | know | information | they | understand | detail | they | understand | friendship
they | undermine | church | we | destroy | chapel | they | undermine | church | they | undermine | process
they | undermine | policy | he | weaken | rules | they | undermine | policy | they | undermine | ability
he | try | method | she | test | means | he | try | method | he | try | sport
she | try | program | he | undertake | project | she | try | program | she | try | recipe
he | try | drug | she | test | medicine | he | try | drug | he | try | best
i | trust | instincts | she | believe in | intuition | i | trust | instincts | i | trust | gestures
they | trick | people | we | fool | public | they | trick | people | they | trick | court
we | train | students | they | bring up | pupils | we | train | students | we | train | residents
he | trade | arms | they | sell | weapons | he | trade | arms | he | trade | territory
we | throw | bombs | they | launch | missiles | we | throw | bombs | we | throw | balls
he | throw | bricks | we | cast | blocks | he | throw | bricks | he | throw | football
i | throw | stones | he | cast | rocks | i | throw | stones | i | throw | ball
i | test | theory | we | examine | principles | i | test | theory | i | test | device
i | test | model | they | inspect | patterns | i | test | model | i | test | techniques
you | help | neighbors | i | assist | kinsfolk | you | help | neighbors | you | help | expenses
they | hide | aircraft | she | conceal | car | they | hide | aircraft | they | hide | profits
he | hide | emotion | you | dissemble | feeling | he | hide | emotion | he | hide | toll
he | hide | documents | i | cover up | file | he | hide | documents | he | hide | disgust
we | hide | evidence | people | conceal | fact | we | hide | evidence | we | hide | belief
they | hire | officers | he | employ | manager | they | hire | officers | they | hire | bus
officials | hinder | penalty | i | block | shoot | officials | hinder | penalty | officials | hinder | investigation
he | hire | actor | i | engage | singer | he | hire | actor | he | hire | service
you | hit | wall | i | bang | ceiling | you | hit | wall | you | hit | run
i | hit | bridge | they | blunder into | wall | i | hit | bridge | i | hit | airport
you | hit | green | i | click | yellow | you | hit | green | you | hit | pediatricians
he | hold | practice | boy | keep | practice | he | hold | practice | he | hold | conference
he | honor | mother | we | respect | parents | he | honor | mother | he | honor | nature
he | hold | conference | i | conduct | meeting | he | hold | conference | he | hold | end
we | hold | pilots | i | control | driver | we | hold | pilots | we | hold | talks
i | honor | commitment | you | keep | promise | i | honor | commitment | i | honor | mother
we | hold | feet | he | rub | leg | we | hold | feet | we | hold | seminars
we | hurt | treehouse | it | destroy | building | we | hurt | treehouse | we | hurt | ourselves
she | identify | investors | he | distinguish | contenders | she | identify | investors | she | identify | plates
we | identify | cause | i | find | reason | we | identify | cause | we | identify | members
official | identify | museum | they | confirm | exhibition hall | official | identify | museum | official | identify | candidates
you | identify | customer | i | confirm | buyer | you | identify | customer | you | identify | officer
he | identify | murderer | i | recognize | assassin | he | identify | murderer | he | identify | companies
she | identify | complainant | i | ensure | defendant | she | identify | complainant | she | identify | tenant
he | identify | culprit | she | admit | mistake | he | identify | culprit | he | identify | parties
i | fire | matches | we | lit | firewood | i | fire | matches | i | fire | employees
he | ignore | report | i | forgot | speech | he | ignore | report | he | ignore | fans
he | ignore | sport | we | neglect | motion | he | ignore | sport | he | ignore | argument
he | ignore | whispers | i | disregard | gossip | he | ignore | whispers | he | ignore | models
you | ignore | plight | i | brush aside | difficulty | you | ignore | plight | you | ignore | breakfast
he | illustrate | solution | he | clarified | scheme | he | illustrate | solution | he | illustrate | poetry
she | illuminate | room | he | lit | chamber | she | illuminate | room | she | illuminate | songs
he | imagine | happiness | i | picture | gladness | he | imagine | happiness | he | imagine | myself
i | imagine | killer | police | guess | victim | i | imagine | killer | i | imagine | scenario
i | imagine | pain | i | fancy | ache | i | imagine | pain | i | imagine | depth
he | immerse in | faith | he | devoted to | religion | he | immerse in | faith | he | immerse in | world
it | impact | arts | them | affect | culture | it | impact | arts | it | impact | car
it | impact | budget | they | change | spending | it | impact | budget | it | impact | children
house | impeach | president | we | accuse | leader | house | impeach | president | house | impeach | criminal
officials | impede | investigation | we | obstruct | research | officials | impede | investigation | officials | impede | development
we | implement | resolution | it | execute | decision | we | implement | resolution | we | implement | withdrawal
you | implement | landing | i | finish | launch | you | implement | landing | you | implement | suggestion
they | import | pounds | i | export | dollars | they | import | pounds | they | import | television
it | impose | law | we | perfect | rule | it | impose | law | it | impose | structure
mayor | impose | tariffs | he | levy | taxes | mayor | impose | tariffs | mayor | impose | requirement
i | impose | structure | he | strengthen | architecture | i | impose | structure | i | impose | blockade
they | impose | penalty | i | give | award | they | impose | penalty | they | impose | curriculum
it | impose | curriculum | teacher | intensify | teaching | it | impose | curriculum | it | impose | businessman
it | impose on | length | magnifier | increase | size | it | impose on | length | it | impose on | enemy
he | improve | condition | patient | promote | health | he | improve | condition | he | improve | monitoring
we | improve | skills | you | enhance | technology | we | improve | skills | we | improve | element
we | improve | efficiency | i | accelerate | rate | we | improve | efficiency | we | improve | quality
i | improve | allocation | it | change | distribution | i | improve | allocation | i | improve | footwork
he | improve | effort | we | increase | endeavor | he | improve | effort | he | improve | monitoring
you | improve | habit | i | rejigger | behaviour | you | improve | habit | you | improve | screwdriver
we | improve | situation | she | reverse | aspect | we | improve | situation | we | improve | chances
we | improve | agility | it | raise | sensitivity | we | improve | agility | we | improve | health
he | improve | reputation | i | heighten | popularity | he | improve | reputation | he | improve | image
he | improve | economy | she | serve | finance | he | improve | economy | he | improve | lift
it | include | software | they | embrace | hardware | it | include | software | it | include | blacks
she | investigate | bartender | i | dispatch | bartender | she | investigate | bartender | she | investigate | effectiveness
researchers | investigate | charges | they | examine | cases | researchers | investigate | charges | researchers | investigate | plant
i | incorporate | technology | we | adopt | technique | i | incorporate | technology | i | incorporate | attractions
he | incorporate | experiences | she | blend | knowledge | he | incorporate | experiences | he | incorporate | police
it | increase | profitability | you | advance | profit | it | increase | profitability | it | increase | surveillance
they | increase | participation | he | enhance | existence | they | increase | participation | they | increase | capitalization
we | increase | productivity | he | enlarge | output | we | increase | productivity | we | increase | awareness
they | increase | versatility | we | enhance | variety | they | increase | versatility | they | increase | population
companies | increase | sales | you | raise | costs | companies | increase | sales | companies | increase | plant
businesses | increase | plant | enterprises | expand | factories | businesses | increase | plant | businesses | increase | security
administration | increase | fines | we | strengthen | punishment | administration | increase | fines | administrative | increased | establishment
it | increase | advertising | we | make | propaganda | it | increase | advertising | it | increase | segregation
he | increase | agreement | we | improve | contract | he | increase | agreement | he | increase | resistance
she | increase | ridership | it | reinforce | load | she | increase | ridership | she | increase | spending
it | increase | cap | it | augment | ceiling | it | increase | cap | it | increase | supply
it | increase | supply | we | intensify | reinforcement | it | increase | supply | it | increase | services
he | increase | share | organization | boost | welfare | he | increase | share | he | increase | accountability
we | increase | focus | you | raise | attention | we | increase | focus | we | increase | enrollment
she | increase | discount | we | elevate | rebate | she | increase | discount | she | increase | spending
they | increase | scrutiny | we | gear up | check | they | increase | scrutiny | they | increase | ratio
he | increase | broadcasts | she | add | advertisement | he | increase | broadcasts | he | increase | strength
they | increase | status | i | upgrade | job | they | increase | status | they | increase | amount
they | increase | law | i | perfect | rule | they | increase | law | they | increase | membership
he | increase | revenue | i | raise | salary | he | increase | revenue | he | increase | appreciation
they | increase | aid | you | send | assistance | they | increase | aid | they | increase | benefits
he | influence | testimony | it | affect | evidence | he | influence | testimony | he | influence | postseason
they | inform | father | we | tell | mot | they | inform | father | they | inform | investigators
she | inform | board | he | report | regulators | she | inform | board | she | inform | pregnant
we | initiate | rewards | i | start | encouragement | we | initiate | rewards | we | initiate | discussion
i | inject | insulin | you | take | adrenalin | i | inject | insulin | i | inject | humour
he | injuring | driver | i | hurt | passenger | he | injuring | driver | he | injuring | reputation
auto | injuring | driver | bulldozer | hit | pedestrian | auto | injuring | driver | auto | injuring | economic
she | insert | finger | he | stretch out | arm | she | insert | finger | she | insert | data
he | insisting on | product | i | value | merchandise | he | insisting on | product | he | insisting on | innocence
he | insisting | system | we | stick to | rule | he | insisting | system | he | insisting | war
it | inspect | engine | i | check | part | it | inspect | engine | it | inspect | properties
he | inspect | yacht | she | repair | plane | he | inspect | yacht | he | inspect | work
she | inspire | women | we | hearten | student | she | inspire | women | she | inspire | loyalty
i | install | cables | he | assemble | elevators | i | install | cables | i | install | president
army | install | consoles | soldier | install | gauges | army | install | consoles | army | install | government
we | institute | freeze | i | cool | down | we | institute | freeze | we | institute | policing
he | insure | criticism | she | receive | comment | he | insure | criticism | he | insure | rights
you | insure | victory | i | promise | win | you | insure | victory | you | insure | doom
it | integrate | networks | they | synthesize | internet | it | integrate | networks | it | integrate | airplanes
they | insure | solvency | he | pledge to | repay | they | insure | solvency | they | insure | safety
they | integrate | resources | we | arrange | material | they | integrate | resources | they | integrate | products
he | interest | chefs | i | attract | waiter | he | interest | chefs | he | interest | dog
i | integrate | life | we | suit | live | i | integrate | life | i | integrate | purchasing
he | interpret | law | she | explain | rule | he | interpret | law | he | interpret | dreams
japan | intervene in | war | korea | refer to | turmoil | japan | intervene in | war | japan | intervene in | market
we | interview | you | i | examine | interviewer | we | interview | you | we | interview | adviser
they | intimidate | government | insurgents | threaten | refugees | they | intimidate | government | they | intimidate | vote
it | introduce | racquet | commentator | explain | basketball | it | introduce | racquet | it | introduce | chips
it | introduce | fixes | he | interpret | installation | it | introduce | fixes | it | introduce | measure
she | introduce | programme | we | host | programs | she | introduce | programme | she | introduce | technology
company | introduce | machine | they | recommend | equipment | company | introduce | machine | company | introduce | channel
we | introduce | legislation | you | adopt | law | we | introduce | legislation | we | introduce | scotch
they | invade | iraq | you | intrude | china | they | invade | iraq | they | invade | privacy
i | invent | light | we | create | lamp | i | invent | light | i | invent | world
they | invest in | mexico | i | export to | japan | they | invest in | mexico | they | invest in | technology
it | invest in | years | we | operate | months | it | invest in | years | it | invest in | companies
we | invest in | equity | we | reap | share | we | invest in | equity | it | invest in | europe
we | investigate | licenses | he | check | legality | we | investigate | licenses | we | investigate | leaks
department | investigate | leaks | you | inspect | repair | department | investigate | leaks | department | investigate | sale
he | investigate | charges | officials | examine | suspicions | he | investigate | charges | he | investigate | cancer
department | investigate | variety | we | surveyed | species | department | investigate | variety | department | investigate | allegations
he | investigate | gunshots | we | research | bombardment | he | investigate | gunshots | he | investigate | organization
you | invite | actors | i | request | artists | you | invite | actors | you | invite | troops
we | invite | trouble | you | cause | bother | we | invite | trouble | we | invite | everybody
he | invoke | mantra | i | spell | curse | he | invoke | mantra | he | invoke | actions
it | involve | judgment | that | depends on | decision | it | involve | judgment | it | involve | traffickers
he | involve in | philanthropy | she | works for | charity | he | involve in | philanthropy | he | involve in | performance
you | irritate | skin | it | stimulate | heart | you | irritate | skin | you | irritate | wife
we | isolate | china | you | seclude | germany | we | isolate | china | we | isolate | vibration
it | issue | injunction | we | prohibit | travel | it | issue | injunction | it | issue | shares
he | issue | cards | we | send | congratulation | he | issue | cards | he | issue | statement
it | issue | protest | they | protest | policy | it | issue | protest | it | issue | paper
he | issue | regulations | we | promulgate | bylaw | he | issue | regulations | he | issue | warning
it | issue in | debt | they | publish | bonds | it | issue in | debt | it | issue in | transaction
i | jeopardize | reputation | you | lose | popularity | i | jeopardize | reputation | i | jeopardize | success
he | jeopardize | quality | we | endanger | mark | he | jeopardize | quality | he | jeopardize | government
she | join | department | he | accede to | company | she | join | department | she | join | marines
he | join | cast | i | act as | director | he | join | cast | he | join | quadrangle
we | join | quadrangle | you | move into | villa | we | join | quadrangle | we | join | fight
they | join | partners | we | affiliate | colleagues | they | join | partners | they | join | critics
he | join | army | you | enter | troops | he | join | army | he | join | hands
we | judge | situation | it | determine | condition | we | judge | situation | we | judge | conduct
i | try | prisoners | he | judge | criminal | i | try | prisoners | i | try | experiment
i | judge by | experience | we | decide by | analysis | i | judge by | experience | i | judge by | tonight
i | jump on | conference | we | attend | meeting | i | jump on | conference | i | jump on | bed
it | justify | segregation | he | prove | isolation | it | justify | segregation | it | justify | price
he | justify | himself | you | defend | yourself | he | justify | himself | he | justify | existence
you | keep | track | we | revise | trajectory | you | keep | track | you | keep | heads
he | keep | working | i | continue | labour | he | keep | working | he | keep | right
they | keep | role | he | maintain | part | they | keep | role | they | keep | ties
he | keep | ties | they | preserve | communication | he | keep | ties | he | keep | costs
we | keep | schedule | you | act as | plan | we | keep | schedule | we | keep | profile
he | keep | memory | we | remember | feeling | he | keep | memory | he | keep | pace
we | keep | fanatics | i | remain | enthusiastic | we | keep | fanatics | we | keep | memberships
he | keep | job | she | promote | position | he | keep | job | he | keep | vision
he | keep | virus | i | treat | disease | he | keep | virus | he | keep | fires
man | keep | order | we | maintain | system | man | keep | order | man | keep | company
it | keep | face | they | retain | prestige | it | keep | face | it | keep | chairman
we | keep | deal | you | continue | cooperation | we | keep | deal | we | keep | simple
it | keep | commitments | it | honor | commitments | it | keep | commitments | it | keep | availability
you | keep | children | i | raise | offspring | you | keep | children | you | keep | staff
he | keep | home | we | left | room | he | keep | home | he | keep | public
we | keep | congestion | you | crowd | cars | we | keep | congestion | we | keep | home
it | keep | deficit | i | continue | profit | it | keep | deficit | it | keep | samples
i | keep | dignity | i | retain | pride | i | keep | dignity | he | keep | politics
it | keep | incomes | they | maintains | revenue | it | keep | incomes | it | keep | profile
they | keep | ringing | he | send | message | they | keep | ringing | they | keep | forces
we | keep | innovating | she | promise | transform | we | keep | innovating | we | keep | classes
we | keep | confidentiality | we | conceal | secret | we | keep | confidentiality | we | keep | innovating
he | keep | spending | they | reduce | expense | he | keep | spending | he | keep | hours
he | keep | hours | i | hold on | minutes | he | keep | hours | he | keep | neighbors
they | keep | priority | we | occupy | precedence | they | keep | priority | they | keep | track
i | keep | coin | she | save | change | i | keep | coin | i | keep | job
we | keep | theme | i | continue | subject | we | keep | theme | we | keep | status
you | keep | diary | i | make | notes | you | keep | diary | you | keep | operations
i | keep in | prison | i | detain in | cell | i | keep in | prison | i | keep in | contact
we | kick | goal | i | got | point | we | kick | goal | we | kick | ass
fighter | kick | procession | soldiers | line | up | fighter | kick | procession | fighter | kick | trucks
i | kid | wolf | we | tease | tiger | i | kid | wolf | i | kid | myself
he | kill | musical | we | destroy | song | he | kill | musical | he | kill | anyone
he | kill | president | she | assassinate | chairman | he | kill | president | he | kill | show
they | kill | capitalism | you | stifle | communism | they | kill | capitalism | they | kill | employee
i | knock | profession | you | switch | job | i | knock | profession | i | knock | dead
i | kiss | parents | i | hug | wife | i | kiss | parents | i | kiss | goodbye
you | know | symphony | he | master | classical | you | know | symphony | you | know | neighbors
he | lack | stamina | she | reduce | patience | he | lack | stamina | he | lack | stomach
they | lack | capacity | he | waste | technique | they | lack | capacity | they | lack | agenda
he | lack | presence | she | left | scene | he | lack | presence | he | lack | balance
we | lack in | jobs | you | lost | occupation | we | lack in | jobs | we | lack in | schools
it | launch | campaign | i | initiate | movement | it | launch | campaign | it | launch | rocket
we | launch | attacks | they | start | offensive | we | launch | attacks | we | launch | probe
you | launch | company | i | establish | corporation | you | launch | company | you | launch | spacecraft
he | lay | sort | you | sit on | ground | he | lay | sort | he | lay | matrix
they | lay | arms | we | drop | weapon | they | lay | arms | they | lay | low
he | lay | trap | they | fall into | trap | he | lay | trap | he | lay | weapons
it | lay | claim | i | lodge | claim | it | lay | claim | it | lay | percent
he | lay | agenda | you | make | plans | he | lay | agenda | he | lay | weeding
he | lay | officers | i | dismiss | employee | he | lay | officers | he | lay | possessions
they | lay | eggs | i | have | child | they | lay | eggs | they | lay | revolver
we | lay | positions | you | pose | pose | we | lay | positions | we | lay | tiles
he | lay | revolver | she | took out | weapons | he | lay | revolver | he | lay | agenda
he | lead | game | we | guide | team | he | lead | game | he | lead | committee
we | lead | negotiations | i | responsible for | conference | we | lead | negotiations | we | lead | lives
he | lead | nation | i | head | country | he | lead | nation | he | lead | nets
i | learn | craft | you | master | skills | i | learn | craft | i | learn | english
we | learn | strategies | they | improve | method | we | learn | strategies | we | learn | dimmers
she | learn | defense | you | practice | resistance | she | learn | defense | she | learn | japanese
it | learn | programming | you | study | development | it | learn | programming | it | learn | offense
i | learn | languages | they | master | culture | i | learn | languages | i | learn | swing
he | learn | instrument | i | exercise | music | he | learn | instrument | he | learn | alphabet
he | learn | guitar | i | study | violin | he | learn | guitar | he | learn | business
you | leave | home | i | depart from | house | you | leave | home | you | leave | behind
they | leave | property | we | stay | assets | they | leave | property | they | leave | street
i | leave | ego | you | abandon | yourself | i | leave | ego | i | leave | country
he | leave | legacy | we | leave over | estate | he | leave | legacy | he | leave | marsh
he | leave | commentary | i | write | comment | he | leave | commentary | he | leave | house
he | leave | office | she | resign | job | he | leave | office | he | leave | room
she | leave | decisions | we | renounce | choice | she | leave | decisions | she | leave | collection
she | leave | note | it | hold | clue | she | leave | note | she | leave | yale
he | leave | chain | she | escape from | shackle | he | leave | chain | he | leave | lobby
he | leave | congress | i | quit | parliament | he | leave | congress | he | leave | shares
they | leave | business | he | quit | job | they | leave | business | they | leave | cuba
i | lend | credence | we | believe | credit | i | lend | credence | i | lend | paintings
he | liberate | sound | she | release | voice | he | liberate | sound | he | liberate | country
they | license | patents | i | authorize | technology | they | license | patents | they | license | publishers
she | lift | embargo | you | suspend | ban | she | lift | embargo | she | lift | veil
it | lift | spirits | he | inspired | himself | it | lift | spirits | it | lift | itself
you | lift | symptoms | they | relieve | disease | you | lift | symptoms | you | lift | power
he | lift | sanctions | she | stop | punishment | he | lift | sanctions | he | lift | states
we | light | room | you | illuminate | house | we | light | room | we | light | subjects
we | limit | visitors | you | restrict | customer | we | limit | visitors | we | limit | contributions
senate | limit | debate | we | forbid | discussion | senate | limit | debate | senate | limit | ability
i | keep | focus | i | attract | spotlight | i | keep | focus | i | keep | family
they | keep | government | we | maintain | country | they | keep | government | they | keep | track
they | keep | home | i | stay | home | they | keep | home | they | keep | simple
she | keep | perspective | you | need | patience | she | keep | perspective | she | keep | peace
it | keep | hallucinations | they | produce | delusion | it | keep | hallucinations | it | keep | management
i | keep | fish | you | raise | dog | i | keep | fish | i | keep | peace
he | keep | faith | we | firm | will | he | keep | faith | he | keep | measure
they | keep | friends | we | make | mates | they | keep | friends | they | keep | rings
she | keep | money | he | saves | gold | she | keep | money | she | keep | focus
they | keep | hammock | we | install | bed | they | keep | hammock | they | keep | face
they | keep | rallies | we | throw | party | they | keep | rallies | they | keep | order
he | keep | family | i | support | household | he | keep | family | he | keep | safe
she | keep | mind | i | refresh | head | she | keep | mind | she | keep | whiskey
they | keep | order | we | maintain | rule | they | keep | order | they | keep | members
she | keep | priorities | i | possess | preemption | she | keep | priorities | she | keep | temper
i | keep | track | you | hide | whereabouts | i | keep | track | i | keep | bonds
he | keep | windfall | she | make | money | he | keep | windfall | he | keep | focus
she | keep | concentrate | he | firm | attention | she | keep | concentrate | she | keep | seat
he | keep | commitment | i | abide by | agreement | he | keep | commitment | he | keep | majority
he | keep | cash | we | save | money | he | keep | cash | he | keep | control
we | keep | word | you | shut | up | we | keep | word | we | keep | plants
they | keep | monopoly | we | corner | market | they | keep | monopoly | they | keep | lights
they | keep | immigrants | we | retain | refugee | they | keep | immigrants | they | keep | talks
she | keep | insurance | i | buy | assurance | she | keep | insurance | she | keep | job
it | keep | bread | that | store | cake | it | keep | bread | it | keep | regulation
he | list | accomplishments | i | enumerate | result | he | list | accomplishments | he | list | charges
we | listen on | music | i | watch | concerts | we | listen on | music | we | listen to | witnesses
i | locate | mausoleum | we | find | tomb | i | locate | mausoleum | it | locate | mention
he | lose | pounds | i | reduce | weight | he | lose | pounds | he | lose | family
you | lose | job | we | quit | occupation | you | lose | job | you | lose | charm
it | lose | credibility | they | abandon | integrity | it | lose | credibility | it | lose | yen
he | lose | locks | she | miss | key | he | lose | locks | he | lose | accent
i | love | irony | we | like | ridicule | i | love | irony | i | love | salmon
you | love | commitment | i | used to | promise | you | love | commitment | you | love | solitude
it | lure | buyers | they | attract | users | it | lure | buyers | it | lure | tourists
he | maintain | relationship | she | preserve | communion | he | maintain | relationship | he | maintain | quality
he | maintain | edge | you | lead | others | he | maintain | edge | he | maintain | independence
she | maintain | weight | i | control | stature | she | maintain | weight | she | maintain | stockpile
he | maintain | patent | i | apply for | monopoly | he | maintain | patent | he | maintain | composure
it | maintain | mall | he | operate | shop | it | maintain | mall | it | maintain | cheerfulness
i | maintain | morale | we | boost | momentum | i | maintain | morale | i | maintain | tradition
you | make | lot | i | earn | profit | you | make | lot | you | make | plans
we | make | order | you | place | order | we | make | order | we | make | playoffs
we | make | decision | i | decide | option | we | make | decision | we | make | improvements
they | make | movies | we | shoot | program | they | make | movies | they | make | adjustments
she | make | pizza | i | cook | staple | she | make | pizza | she | make | decisions
he | make | trip | we | go | travel | he | make | trip | he | make | improvements
i | make | sentence | she | write | articles | i | make | sentence | i | make | money
you | make | headway | we | obtain | progress | you | make | headway | you | make | comment
we | make | fun | i | crack | joke | we | make | fun | we | make | bombs
i | make | issue | we | ask | questions | i | make | issue | i | make | decision
she | make | report | he | give | lecture | she | make | report | she | make | mistakes
we | make | furniture | i | design | decoration | we | make | furniture | we | make | progress
they | make | plays | we | perform | drama | they | make | plays | they | make | peace
you | make | mission | we | accomplish | task | you | make | mission | you | make | tender
we | make | houses | you | build | apartments | we | make | houses | we | make | rally
they | make | vaccine | we | develop | drugs | they | make | vaccine | they | make | reservations
you | make | sandwich | i | cook | breakfast | you | make | sandwich | you | make | profit
i | make | break | he | take | rest | i | make | break | i | make | choice
we | make | request | they | send | application | we | make | request | we | make | deal
she | make | notes | he | keep | diary | she | make | notes | she | make | film
he | make | statement | i | issue | declaration | he | make | statement | he | make | album
you | make | team | we | form | organization | you | make | team | you | make | comparisons
we | make | robot | they | design | machinery | we | make | robot | we | make | sense
it | make | repairs | you | provide | maintenance | it | make | repairs | it | make | team
they | make | model | we | design | appearance | they | make | model | they | make | choices
company | make | brands | we | build | products | company | make | brands | company | make | room
it | make | leader | i | represent | team | it | make | leader | it | make | sense
he | make | comment | she | critique | review | he | make | comment | he | make | changes
he | make | clothes | i | cut | garments | he | make | clothes | he | make | case
she | make | predictions | we | predict | future | she | make | predictions | she | make | bill
we | make | attempt | i | try | acceptance | we | make | attempt | we | make | music
he | manage | shop | she | runs | supermarket | he | manage | shop | he | manage | demands
she | manage | illness | i | cure | disease | she | manage | illness | she | manage | funds
it | manipulates | ideas | they | control | mind | it | manipulates | ideas | it | manipulate | election
he | manufacture | devices | we | makes | equipment | he | manufacture | devices | he | manufacture | excitement
it | mark | beginning | they | mean | end | it | mark | beginning | it | mark | time
they | master | material | we | collect | evidence | they | master | material | they | master | tools
i | master | art | she | grasp | technology | i | master | art | i | master | roles
it | match | climate | that | fit | weather | it | match | climate | it | match | studies
we | maximize | production | factor | expand | scale | we | maximize | production | we | maximize | talent
we | measure | risk | i | assess | venture | we | measure | risk | we | measure | world
it | measure | effect | i | evaluate | result | it | measure | effect | it | measure | reverberations
we | meet | concerns | you | have | problems | we | meet | concerns | we | meet | demand
it | meet | obligations | i | fulfil | duty | it | meet | obligations | it | meet | forecast
they | meet | goals | she | achieve | target | they | meet | goals | they | meet | needs
he | meet | rules | it | conforms | regulation | he | meet | rules | he | meet | dam
i | meet | patient | she | satisfy | invalid | i | meet | patient | i | meet | children
you | meet | challenge | i | challenge | risk | you | meet | challenge | you | meet | guy
he | meet | expectations | she | fulfill | expectation | he | meet | expectations | he | meet | requirements
she | meet | obligation | i | perform | obligation | she | meet | obligation | she | meet | investigators
we | meet | opponent | i | encounter | enemy | we | meet | opponent | we | meet | responsibilities
we | meet | mandate | you | receive | mission | we | meet | mandate | we | meet | standards
he | mend | relationship | we | maintain | friendship | he | mend | relationship | he | mend | fences
he | merge | witter | i | blend | wisdom | he | merge | witter | he | merge | affiliate
we | minimize | smell | i | dispel | odors | we | minimize | smell | we | minimize | fatigue
it | minimize | waste | we | eliminate | squander | it | minimize | waste | it | minimize | emissions
we | minimize | risk | he | mitigate | venture | we | minimize | risk | we | minimize | impact
